r,T0,alpha0
5.325,0.375190212409194,3.6367471162523013
5.375,0.37303177682283284,3.6372250527855097
5.425,0.3708661054090773,3.637828016334947
5.475,0.36869348057457346,3.638560115732405
5.525,0.3665141841857031,3.6394255357214176
5.575,0.3643284975095637,3.640428538231883
5.625,0.36213670115547103,3.6415734636774104
5.675,0.3599390750169998,3.642864732275737
5.725,0.35773589821457985,3.6443068453925247
5.775,0.3555274490386617,3.6459043869089123
5.825,0.3533140048934677,3.64766202461314
5.875,0.35109584224134394,3.649584511616601
5.925,0.34887323654772656,3.651676687794674
5.975,0.3466464622267378,3.6539434812526905
6.025,0.34441579258742516,3.6563899098173844
6.075,0.34218149978065765,3.659021082554194
6.125,0.3399438547466916,3.6618422013107774
6.175,0.33770312716342027,3.664858562287103
6.225,0.3354595853953188,3.6680755576324797
6.275,0.3332134964430967,3.671498677069918
6.325,0.3309651258940712,3.6751335095481634
6.375,0.32871473787327027,3.6789857449218037
6.425,0.3264625949952795,3.683061175659822
6.475,0.3242089583168415,3.6873656985829633
6.525,0.32195408729021896,3.691905316630301
6.575,0.31969823971733147,3.6966861406554123
6.625,0.31744167170467597,3.7017143912524824
6.675,0.3151846376190392,3.7069964006128044
6.725,0.31292739004401254,3.7125386144119874
6.775,0.31067017973731637,3.718347593728301
6.825,0.3084132555889433,3.724430016992537
6.875,0.30615686458012703,3.7307926819697546
6.925,0.30390125174314536,3.7374425077733155
6.975,0.3016466601219633,3.7443865369115876
7.025,0.2993933307337239,3.751631937367693
7.075,0.2971415025310928,3.7591860047126846
7.125,0.2948914123654615,3.767056164252549
7.175,0.29264329495101704,3.7752499732093803
7.225,0.2903973828296805,3.78377512293713
7.275,0.28815390633692145,3.7926394411722875
7.325,0.28591309356845207,3.801850894319852
7.375,0.28367517034780365,3.811417589774983
7.425,0.2814403601947912,3.821347778280666
7.475,0.2792088842948681,3.831649856321749
7.525,0.2769809614693746,3.842332368555698
7.575,0.2747568081466813,3.853404010280421
7.625,0.27253663833423164,3.8648736299394617
7.675,0.2703206635914841,3.876750231664923
7.725,0.26810909300375524,3.889042977858416
7.775,0.2659021331569662,3.9017611918103143
7.825,0.26369998811329154,3.9149143603576677
